"key","date","to","from","action_team","notes","edge_label","pick_involved","rights_involved","teams_involved"
"Anthony Tolliverfree agencysigned free agent to a 10-day contract","2010-01-17","Anthony Tolliver","free agency","Warriors","signed free agent to a 10-day contract","On 2010-01-17, Anthony Tolliver is signed as free agent to a 10-day contract by Warriors",FALSE,FALSE,"Warriors"
"free agencyJerry Stackhousesigned free agent for the remainder of the season","2010-01-18","Jerry Stackhouse","free agency","Bucks","signed free agent for the remainder of the season","On 2010-01-18, Jerry Stackhouse is signed as free agent for the remainder of the season by Bucks",FALSE,FALSE,"Bucks"
"free agencyKareem Rushwaived","2010-01-22","free agency","Kareem Rush","Clippers","waived","On 2010-01-22, Kareem Rush becomes a free agent from Clippers",FALSE,FALSE,"Clippers"
"free agencyJamesOn Currysigned free agent to a 10-day contract","2010-01-22","JamesOn Curry","free agency","Clippers","signed free agent to a 10-day contract","On 2010-01-22, JamesOn Curry is signed as free agent to a 10-day contract by Clippers",FALSE,FALSE,"Clippers"
"free agencyMarcus Haislipwaived","2010-01-22","free agency","Marcus Haislip","Spurs","waived","On 2010-01-22, Marcus Haislip becomes a free agent from Spurs",FALSE,FALSE,"Spurs"
"Cedric Jacksonfree agencysigned free agent to a 10-day contract","2010-01-23","Cedric Jackson","free agency","Cavaliers","signed free agent to a 10-day contract","On 2010-01-23, Cedric Jackson is signed as free agent to a 10-day contract by Cavaliers",FALSE,FALSE,"Cavaliers"
"Aaron GrayDevin Brown","2010-01-25","Devin Brown","Aaron Gray","Bulls","trade with Hornets","In a trade with the Hornets, on 2010-01-25, the Bulls receive Devin Brown in exchange for Aaron Gray",FALSE,FALSE,"Bulls, Hornets"
"free agencyJamesOn Currywaived","2010-01-26","free agency","JamesOn Curry","Clippers","waived","On 2010-01-26, JamesOn Curry becomes a free agent from Clippers",FALSE,FALSE,"Clippers"
"Bobby BrownJordan McRae","2010-01-26","Bobby Brown","Jordan McRae","Clippers","trade with Hornets","In a trade with the Hornets, on 2010-01-26, the Clippers receive Bobby Brown in exchange for 2014 second round pick (top 55 protected in 2014, else extinguished) (#58-Jordan McRae)",TRUE,FALSE,"Clippers, Hornets"
"free agencyWill Conroysigned free agent to a 10-day contract","2010-01-28","Will Conroy","free agency","Rockets","signed free agent to a 10-day contract","On 2010-01-28, Will Conroy is signed as free agent to a 10-day contract by Rockets",FALSE,FALSE,"Rockets"
"Cartier Martinfree agencycontract expired","2010-01-31","free agency","Cartier Martin","Warriors","contract expired","On 2010-01-31, Cartier Martin becomes a free agent from Warriors",FALSE,FALSE,"Warriors"
"Coby Karlfree agencysigned free agent to a 10-day contract","2010-01-31","Coby Karl","free agency","Warriors","signed free agent to a 10-day contract","On 2010-01-31, Coby Karl is signed as free agent to a 10-day contract by Warriors",FALSE,FALSE,"Warriors"
"Chris Richardfree agencysigned free agent to a 10-day contract","2010-02-05","Chris Richard","free agency","Bulls","signed free agent to a 10-day contract","On 2010-02-05, Chris Richard is signed as free agent to a 10-day contract by Bulls",FALSE,FALSE,"Bulls"
"free agencyJason Hartsigned free agent to a 10-day contract","2010-02-05","Jason Hart","free agency","Hornets","signed free agent to a 10-day contract","On 2010-02-05, Jason Hart is signed as free agent to a 10-day contract by Hornets",FALSE,FALSE,"Hornets"
"Craig Claxton / Speedy Claxtonfree agencywaived","2010-02-06","free agency","Craig Claxton / Speedy Claxton","Warriors","waived","On 2010-02-06, Craig Claxton / Speedy Claxton becomes a free agent from Warriors",FALSE,FALSE,"Warriors"
"free agencyWill Conroycontract expired","2010-02-08","free agency","Will Conroy","Rockets","contract expired","On 2010-02-08, Will Conroy becomes a free agent from Rockets",FALSE,FALSE,"Rockets"
"free agencyGarrett Templesigned free agent to a 10-day contract","2010-02-08","Garrett Temple","free agency","Rockets","signed free agent to a 10-day contract","On 2010-02-08, Garrett Temple is signed as free agent to a 10-day contract by Rockets",FALSE,FALSE,"Rockets"
"Coby Karlfree agencycontract expired","2010-02-09","free agency","Coby Karl","Warriors","contract expired","On 2010-02-09, Coby Karl becomes a free agent from Warriors",FALSE,FALSE,"Warriors"
"Caron ButlerJosh Howard","2010-02-13","Caron Butler","Josh Howard","Mavericks","trade with Wizards","In a trade with the Wizards, on 2010-02-13, the Mavericks receive Caron Butler in exchange for Josh Howard",FALSE,FALSE,"Mavericks, Wizards"
"Caron ButlerDrew Gooden","2010-02-13","Caron Butler","Drew Gooden","Mavericks","trade with Wizards","In a trade with the Wizards, on 2010-02-13, the Mavericks receive Caron Butler in exchange for Drew Gooden",FALSE,FALSE,"Mavericks, Wizards"
"Caron ButlerJames Singleton","2010-02-13","Caron Butler","James Singleton","Mavericks","trade with Wizards","In a trade with the Wizards, on 2010-02-13, the Mavericks receive Caron Butler in exchange for James Singleton",FALSE,FALSE,"Mavericks, Wizards"
"Caron ButlerQuinton Ross","2010-02-13","Caron Butler","Quinton Ross","Mavericks","trade with Wizards","In a trade with the Wizards, on 2010-02-13, the Mavericks receive Caron Butler in exchange for Quinton Ross",FALSE,FALSE,"Mavericks, Wizards"
"Brendan HaywoodJosh Howard","2010-02-13","Brendan Haywood","Josh Howard","Mavericks","trade with Wizards","In a trade with the Wizards, on 2010-02-13, the Mavericks receive Brendan Haywood in exchange for Josh Howard",FALSE,FALSE,"Mavericks, Wizards"
"Brendan HaywoodDrew Gooden","2010-02-13","Brendan Haywood","Drew Gooden","Mavericks","trade with Wizards","In a trade with the Wizards, on 2010-02-13, the Mavericks receive Brendan Haywood in exchange for Drew Gooden",FALSE,FALSE,"Mavericks, Wizards"
"Brendan HaywoodJames Singleton","2010-02-13","Brendan Haywood","James Singleton","Mavericks","trade with Wizards","In a trade with the Wizards, on 2010-02-13, the Mavericks receive Brendan Haywood in exchange for James Singleton",FALSE,FALSE,"Mavericks, Wizards"
"Brendan HaywoodQuinton Ross","2010-02-13","Brendan Haywood","Quinton Ross","Mavericks","trade with Wizards","In a trade with the Wizards, on 2010-02-13, the Mavericks receive Brendan Haywood in exchange for Quinton Ross",FALSE,FALSE,"Mavericks, Wizards"
"DeShawn StevensonJosh Howard","2010-02-13","DeShawn Stevenson","Josh Howard","Mavericks","trade with Wizards","In a trade with the Wizards, on 2010-02-13, the Mavericks receive DeShawn Stevenson in exchange for Josh Howard",FALSE,FALSE,"Mavericks, Wizards"
"DeShawn StevensonDrew Gooden","2010-02-13","DeShawn Stevenson","Drew Gooden","Mavericks","trade with Wizards","In a trade with the Wizards, on 2010-02-13, the Mavericks receive DeShawn Stevenson in exchange for Drew Gooden",FALSE,FALSE,"Mavericks, Wizards"
"DeShawn StevensonJames Singleton","2010-02-13","DeShawn Stevenson","James Singleton","Mavericks","trade with Wizards","In a trade with the Wizards, on 2010-02-13, the Mavericks receive DeShawn Stevenson in exchange for James Singleton",FALSE,FALSE,"Mavericks, Wizards"
"DeShawn StevensonQuinton Ross","2010-02-13","DeShawn Stevenson","Quinton Ross","Mavericks","trade with Wizards","In a trade with the Wizards, on 2010-02-13, the Mavericks receive DeShawn Stevenson in exchange for Quinton Ross",FALSE,FALSE,"Mavericks, Wizards"
"cashJosh Howard","2010-02-13","cash","Josh Howard","Mavericks","trade with Wizards","In a trade with the Wizards, on 2010-02-13, the Mavericks receive cash in exchange for Josh Howard",FALSE,FALSE,"Mavericks, Wizards"
"cashDrew Gooden","2010-02-13","cash","Drew Gooden","Mavericks","trade with Wizards","In a trade with the Wizards, on 2010-02-13, the Mavericks receive cash in exchange for Drew Gooden",FALSE,FALSE,"Mavericks, Wizards"
"cashJames Singleton","2010-02-13","cash","James Singleton","Mavericks","trade with Wizards","In a trade with the Wizards, on 2010-02-13, the Mavericks receive cash in exchange for James Singleton",FALSE,FALSE,"Mavericks, Wizards"
"cashQuinton Ross","2010-02-13","cash","Quinton Ross","Mavericks","trade with Wizards","In a trade with the Wizards, on 2010-02-13, the Mavericks receive cash in exchange for Quinton Ross",FALSE,FALSE,"Mavericks, Wizards"
"Marcus CambyTravis Outlaw","2010-02-16","Marcus Camby","Travis Outlaw","Blazers","trade with Clippers","In a trade with the Clippers, on 2010-02-16, the Blazers receive Marcus Camby in exchange for Travis Outlaw",FALSE,FALSE,"Blazers, Clippers"
"Marcus CambySteve Blake","2010-02-16","Marcus Camby","Steve Blake","Blazers","trade with Clippers","In a trade with the Clippers, on 2010-02-16, the Blazers receive Marcus Camby in exchange for Steve Blake",FALSE,FALSE,"Blazers, Clippers"
"free agencyRicky Daviswaived","2010-02-16","free agency","Ricky Davis","Clippers","waived","On 2010-02-16, Ricky Davis becomes a free agent from Clippers",FALSE,FALSE,"Clippers"
"Antawn JamisonZydrunas Ilgauskas","2010-02-17","Antawn Jamison","Zydrunas Ilgauskas","Cavaliers","3-team trade with Clippers, Wizards","In a 3-team trade with the Clippers, Wizards, on 2010-02-17, the Cavaliers receive Antawn Jamison in exchange for Zydrunas Ilgauskas",FALSE,FALSE,"Cavaliers, Clippers, Wizards"
"Antawn JamisonEmir Preldzic","2010-02-17","Antawn Jamison","Emir Preldzic","Cavaliers","3-team trade with Clippers, Wizards","In a 3-team trade with the Clippers, Wizards, on 2010-02-17, the Cavaliers receive Antawn Jamison in exchange for rights to Emir Preldzic",FALSE,TRUE,"Cavaliers, Clippers, Wizards"
"Antawn JamisonLazar Hayward","2010-02-17","Antawn Jamison","Lazar Hayward","Cavaliers","3-team trade with Clippers, Wizards","In a 3-team trade with the Clippers, Wizards, on 2010-02-17, the Cavaliers receive Antawn Jamison in exchange for 2010 first round pick (#30-Lazar Hayward)",TRUE,FALSE,"Cavaliers, Clippers, Wizards"
"Sebastian TelfairZydrunas Ilgauskas","2010-02-17","Sebastian Telfair","Zydrunas Ilgauskas","Cavaliers","3-team trade with Clippers, Wizards","In a 3-team trade with the Clippers, Wizards, on 2010-02-17, the Cavaliers receive Sebastian Telfair in exchange for Zydrunas Ilgauskas",FALSE,FALSE,"Cavaliers, Clippers, Wizards"
"Emir PreldzicSebastian Telfair","2010-02-17","Sebastian Telfair","Emir Preldzic","Cavaliers","3-team trade with Clippers, Wizards","In a 3-team trade with the Clippers, Wizards, on 2010-02-17, the Cavaliers receive Sebastian Telfair in exchange for rights to Emir Preldzic",FALSE,TRUE,"Cavaliers, Clippers, Wizards"
"Lazar HaywardSebastian Telfair","2010-02-17","Sebastian Telfair","Lazar Hayward","Cavaliers","3-team trade with Clippers, Wizards","In a 3-team trade with the Clippers, Wizards, on 2010-02-17, the Cavaliers receive Sebastian Telfair in exchange for 2010 first round pick (#30-Lazar Hayward)",TRUE,FALSE,"Cavaliers, Clippers, Wizards"
"Drew GoodenSebastian Telfair","2010-02-17","Drew Gooden","Sebastian Telfair","Clippers","3-team trade with Cavaliers, Wizards","In a 3-team trade with the Cavaliers, Wizards, on 2010-02-17, the Clippers receive Drew Gooden in exchange for Sebastian Telfair",FALSE,FALSE,"Clippers, Cavaliers, Wizards"
"Al ThorntonDrew Gooden","2010-02-17","Drew Gooden","Al Thornton","Clippers","3-team trade with Cavaliers, Wizards","In a 3-team trade with the Cavaliers, Wizards, on 2010-02-17, the Clippers receive Drew Gooden in exchange for Al Thornton",FALSE,FALSE,"Clippers, Cavaliers, Wizards"
"free agencyJason Hartcontract expired","2010-02-17","free agency","Jason Hart","Hornets","contract expired","On 2010-02-17, Jason Hart becomes a free agent from Hornets",FALSE,FALSE,"Hornets"
"Drew GoodenZydrunas Ilgauskas","2010-02-17","Zydrunas Ilgauskas","Drew Gooden","Wizards","3-team trade with Cavaliers, Clippers","In a 3-team trade with the Cavaliers, Clippers, on 2010-02-17, the Wizards receive Zydrunas Ilgauskas in exchange for Drew Gooden",FALSE,FALSE,"Wizards, Cavaliers, Clippers"
"Al ThorntonAntawn Jamison","2010-02-17","Al Thornton","Antawn Jamison","Wizards","3-team trade with Cavaliers, Clippers","In a 3-team trade with the Cavaliers, Clippers, on 2010-02-17, the Wizards receive Al Thornton in exchange for Antawn Jamison",FALSE,FALSE,"Wizards, Cavaliers, Clippers"
"Drew GoodenEmir Preldzic","2010-02-17","Emir Preldzic","Drew Gooden","Wizards","3-team trade with Cavaliers, Clippers","In a 3-team trade with the Cavaliers, Clippers, on 2010-02-17, the Wizards receive rights to Emir Preldzic in exchange for Drew Gooden",FALSE,TRUE,"Wizards, Cavaliers, Clippers"
"Drew GoodenLazar Hayward","2010-02-17","Lazar Hayward","Drew Gooden","Wizards","3-team trade with Cavaliers, Clippers","In a 3-team trade with the Cavaliers, Clippers, on 2010-02-17, the Wizards receive 2010 first round pick (from Cavaliers) (#30-Lazar Hayward) in exchange for Drew Gooden",TRUE,FALSE,"Wizards, Cavaliers, Clippers"
"Brian CardinalDarko Milicic","2010-02-17","Brian Cardinal","Darko Milicic","Knicks","trade with Timberwolves","In a trade with the Timberwolves, on 2010-02-17, the Knicks receive Brian Cardinal in exchange for Darko Milicic",FALSE,FALSE,"Knicks, Timberwolves"
"Brian Cardinalcash","2010-02-17","Brian Cardinal","cash","Knicks","trade with Timberwolves","In a trade with the Timberwolves, on 2010-02-17, the Knicks receive Brian Cardinal in exchange for cash",FALSE,FALSE,"Knicks, Timberwolves"
"Francisco ElsonPrimoz Brezec","2010-02-18","Francisco Elson","Primoz Brezec","76ers","trade with Bucks","In a trade with the Bucks, on 2010-02-18, the 76ers receive Francisco Elson in exchange for Primoz Brezec",FALSE,FALSE,"76ers, Bucks"
"Francisco ElsonRoyal Ivey","2010-02-18","Francisco Elson","Royal Ivey","76ers","trade with Bucks","In a trade with the Bucks, on 2010-02-18, the 76ers receive Francisco Elson in exchange for Royal Ivey",FALSE,FALSE,"76ers, Bucks"
"Darington HobsonFrancisco Elson","2010-02-18","Francisco Elson","Darington Hobson","76ers","trade with Bucks","In a trade with the Bucks, on 2010-02-18, the 76ers receive Francisco Elson in exchange for 2010 second round pick (#37-Darington Hobson)",TRUE,FALSE,"76ers, Bucks"
"Jodie MeeksPrimoz Brezec","2010-02-18","Jodie Meeks","Primoz Brezec","76ers","trade with Bucks","In a trade with the Bucks, on 2010-02-18, the 76ers receive Jodie Meeks in exchange for Primoz Brezec",FALSE,FALSE,"76ers, Bucks"
"Jodie MeeksRoyal Ivey","2010-02-18","Jodie Meeks","Royal Ivey","76ers","trade with Bucks","In a trade with the Bucks, on 2010-02-18, the 76ers receive Jodie Meeks in exchange for Royal Ivey",FALSE,FALSE,"76ers, Bucks"
"Darington HobsonJodie Meeks","2010-02-18","Jodie Meeks","Darington Hobson","76ers","trade with Bucks","In a trade with the Bucks, on 2010-02-18, the 76ers receive Jodie Meeks in exchange for 2010 second round pick (#37-Darington Hobson)",TRUE,FALSE,"76ers, Bucks"
"Ronald Murray / Flip MurrayTyrus Thomas","2010-02-18","Tyrus Thomas","Ronald Murray / Flip Murray","Bobcats","trade with Bulls","In a trade with the Bulls, on 2010-02-18, the Bobcats receive Tyrus Thomas in exchange for Ronald Murray / Flip Murray",FALSE,FALSE,"Bobcats, Bulls"
"Acie LawTyrus Thomas","2010-02-18","Tyrus Thomas","Acie Law","Bobcats","trade with Bulls","In a trade with the Bulls, on 2010-02-18, the Bobcats receive Tyrus Thomas in exchange for Acie Law",FALSE,FALSE,"Bobcats, Bulls"
"Jusuf NurkicTyrus Thomas","2010-02-18","Tyrus Thomas","Jusuf Nurkic","Bobcats","trade with Bulls","In a trade with the Bulls, on 2010-02-18, the Bobcats receive Tyrus Thomas in exchange for first round pick (protected top 14 in 2012, top 12 in 2013, top 10 in 2014, top 8 in 2015, unprotected in 2016) (2014 #16-Jusuf Nurkic)",TRUE,FALSE,"Bobcats, Bulls"
"Hakim WarrickJohn Salmons","2010-02-18","John Salmons","Hakim Warrick","Bucks","trade with Bulls","In a trade with the Bulls, on 2010-02-18, the Bucks receive John Salmons in exchange for Hakim Warrick",FALSE,FALSE,"Bucks, Bulls"
"Joe AlexanderJohn Salmons","2010-02-18","John Salmons","Joe Alexander","Bucks","trade with Bulls","In a trade with the Bulls, on 2010-02-18, the Bucks receive John Salmons in exchange for Joe Alexander",FALSE,FALSE,"Bucks, Bulls"
"John SalmonsKevin Seraphin","2010-02-18","John Salmons","Kevin Seraphin","Bucks","trade with Bulls","In a trade with the Bulls, on 2010-02-18, the Bucks receive John Salmons in exchange for Bucks option to swap 2010 first round picks (Bulls pick protected top 10) (#17-Kevin Seraphin)",TRUE,FALSE,"Bucks, Bulls"
"Hakim WarrickLarry Sanders (b)","2010-02-18","Larry Sanders (b)","Hakim Warrick","Bucks","trade with Bulls","In a trade with the Bulls, on 2010-02-18, the Bucks receive Bucks option to swap 2010 first round picks (Bulls pick protected top 10) (#15-Larry Sanders (b)) in exchange for Hakim Warrick",TRUE,FALSE,"Bucks, Bulls"
"Joe AlexanderLarry Sanders (b)","2010-02-18","Larry Sanders (b)","Joe Alexander","Bucks","trade with Bulls","In a trade with the Bulls, on 2010-02-18, the Bucks receive Bucks option to swap 2010 first round picks (Bulls pick protected top 10) (#15-Larry Sanders (b)) in exchange for Joe Alexander",TRUE,FALSE,"Bucks, Bulls"
"Kevin SeraphinLarry Sanders (b)","2010-02-18","Larry Sanders (b)","Kevin Seraphin","Bucks","trade with Bulls","In a trade with the Bulls, on 2010-02-18, the Bucks receive Bucks option to swap 2010 first round picks (Bulls pick protected top 10) (#15-Larry Sanders (b)) in exchange for Bucks option to swap 2010 first round picks (Bulls pick protected top 10) (#17-Kevin Seraphin)",TRUE,FALSE,"Bucks, Bulls"
"Hakim WarrickIsaiah Thomas","2010-02-18","Isaiah Thomas","Hakim Warrick","Bucks","trade with Bulls","In a trade with the Bulls, on 2010-02-18, the Bucks receive 2011 second round pick (#60-Isaiah Thomas) in exchange for Hakim Warrick",TRUE,FALSE,"Bucks, Bulls"
"Isaiah ThomasJoe Alexander","2010-02-18","Isaiah Thomas","Joe Alexander","Bucks","trade with Bulls","In a trade with the Bulls, on 2010-02-18, the Bucks receive 2011 second round pick (#60-Isaiah Thomas) in exchange for Joe Alexander",TRUE,FALSE,"Bucks, Bulls"
"Isaiah ThomasKevin Seraphin","2010-02-18","Isaiah Thomas","Kevin Seraphin","Bucks","trade with Bulls","In a trade with the Bulls, on 2010-02-18, the Bucks receive 2011 second round pick (#60-Isaiah Thomas) in exchange for Bucks option to swap 2010 first round picks (Bulls pick protected top 10) (#17-Kevin Seraphin)",TRUE,FALSE,"Bucks, Bulls"
"Hakim WarrickRobert Sacre","2010-02-18","Robert Sacre","Hakim Warrick","Bucks","trade with Bulls","In a trade with the Bulls, on 2010-02-18, the Bucks receive 2012 second round pick (#60-Robert Sacre) in exchange for Hakim Warrick",TRUE,FALSE,"Bucks, Bulls"
"Joe AlexanderRobert Sacre","2010-02-18","Robert Sacre","Joe Alexander","Bucks","trade with Bulls","In a trade with the Bulls, on 2010-02-18, the Bucks receive 2012 second round pick (#60-Robert Sacre) in exchange for Joe Alexander",TRUE,FALSE,"Bucks, Bulls"
"Kevin SeraphinRobert Sacre","2010-02-18","Robert Sacre","Kevin Seraphin","Bucks","trade with Bulls","In a trade with the Bulls, on 2010-02-18, the Bucks receive 2012 second round pick (#60-Robert Sacre) in exchange for Bucks option to swap 2010 first round picks (Bulls pick protected top 10) (#17-Kevin Seraphin)",TRUE,FALSE,"Bucks, Bulls"
"Chris Richardfree agencywaived","2010-02-18","free agency","Chris Richard","Bulls","waived","On 2010-02-18, Chris Richard becomes a free agent from Bulls",FALSE,FALSE,"Bulls"
"Cedric Jacksonfree agencycontract expired","2010-02-18","free agency","Cedric Jackson","Cavaliers","contract expired","On 2010-02-18, Cedric Jackson becomes a free agent from Cavaliers",FALSE,FALSE,"Cavaliers"
"Eddie HouseNate Robinson","2010-02-18","Nate Robinson","Eddie House","Celtics","trade with Knicks","In a trade with the Knicks, on 2010-02-18, the Celtics receive Nate Robinson in exchange for Eddie House",FALSE,FALSE,"Celtics, Knicks"
"J.R. GiddensNate Robinson","2010-02-18","Nate Robinson","J.R. Giddens","Celtics","trade with Knicks","In a trade with the Knicks, on 2010-02-18, the Celtics receive Nate Robinson in exchange for J.R. Giddens",FALSE,FALSE,"Celtics, Knicks"
"Bill WalkerNate Robinson","2010-02-18","Nate Robinson","Bill Walker","Celtics","trade with Knicks","In a trade with the Knicks, on 2010-02-18, the Celtics receive Nate Robinson in exchange for Bill Walker",FALSE,FALSE,"Celtics, Knicks"
"Eddie HouseMarcus Landry","2010-02-18","Marcus Landry","Eddie House","Celtics","trade with Knicks","In a trade with the Knicks, on 2010-02-18, the Celtics receive Marcus Landry in exchange for Eddie House",FALSE,FALSE,"Celtics, Knicks"
"J.R. GiddensMarcus Landry","2010-02-18","Marcus Landry","J.R. Giddens","Celtics","trade with Knicks","In a trade with the Knicks, on 2010-02-18, the Celtics receive Marcus Landry in exchange for J.R. Giddens",FALSE,FALSE,"Celtics, Knicks"
"Bill WalkerMarcus Landry","2010-02-18","Marcus Landry","Bill Walker","Celtics","trade with Knicks","In a trade with the Knicks, on 2010-02-18, the Celtics receive Marcus Landry in exchange for Bill Walker",FALSE,FALSE,"Celtics, Knicks"
"Donatas MotiejunasRonnie Brewer","2010-02-18","Ronnie Brewer","Donatas Motiejunas","Grizzlies","trade with Jazz","In a trade with the Jazz, on 2010-02-18, the Grizzlies receive Ronnie Brewer in exchange for first round pick (protected top 14 in 2011, top 12 in 2012, top 10 in 2013, top 9 in 2014-15, cash thereafter) (2011 #20-Donatas Motiejunas)",TRUE,FALSE,"Grizzlies, Jazz"
"free agencyKenny Thomaswaived","2010-02-18","free agency","Kenny Thomas","Kings","waived","On 2010-02-18, Kenny Thomas becomes a free agent from Kings",FALSE,FALSE,"Kings"
"Carl LandryKevin Martin","2010-02-18","Carl Landry","Kevin Martin","Kings","3-team trade with Knicks, Rockets","In a 3-team trade with the Knicks, Rockets, on 2010-02-18, the Kings receive Carl Landry in exchange for Kevin Martin",FALSE,FALSE,"Kings, Knicks, Rockets"
"Carl LandryHilton Armstrong","2010-02-18","Carl Landry","Hilton Armstrong","Kings","3-team trade with Knicks, Rockets","In a 3-team trade with the Knicks, Rockets, on 2010-02-18, the Kings receive Carl Landry in exchange for Hilton Armstrong",FALSE,FALSE,"Kings, Knicks, Rockets"
"Carl LandrySergio Rodriguez","2010-02-18","Carl Landry","Sergio Rodriguez","Kings","3-team trade with Knicks, Rockets","In a 3-team trade with the Knicks, Rockets, on 2010-02-18, the Kings receive Carl Landry in exchange for Sergio Rodriguez",FALSE,FALSE,"Kings, Knicks, Rockets"
"Joey DorseyKevin Martin","2010-02-18","Joey Dorsey","Kevin Martin","Kings","3-team trade with Knicks, Rockets","In a 3-team trade with the Knicks, Rockets, on 2010-02-18, the Kings receive Joey Dorsey in exchange for Kevin Martin",FALSE,FALSE,"Kings, Knicks, Rockets"
"Hilton ArmstrongJoey Dorsey","2010-02-18","Joey Dorsey","Hilton Armstrong","Kings","3-team trade with Knicks, Rockets","In a 3-team trade with the Knicks, Rockets, on 2010-02-18, the Kings receive Joey Dorsey in exchange for Hilton Armstrong",FALSE,FALSE,"Kings, Knicks, Rockets"
"Joey DorseySergio Rodriguez","2010-02-18","Joey Dorsey","Sergio Rodriguez","Kings","3-team trade with Knicks, Rockets","In a 3-team trade with the Knicks, Rockets, on 2010-02-18, the Kings receive Joey Dorsey in exchange for Sergio Rodriguez",FALSE,FALSE,"Kings, Knicks, Rockets"
"Kevin MartinLarry Hughes","2010-02-18","Larry Hughes","Kevin Martin","Kings","3-team trade with Knicks, Rockets","In a 3-team trade with the Knicks, Rockets, on 2010-02-18, the Kings receive Larry Hughes in exchange for Kevin Martin",FALSE,FALSE,"Kings, Knicks, Rockets"
